"node1","node2","p.corr"
"Cre01.g002200","Cre01.g002203",0.111
"Cre01.g001600","Cre01.g002227",-0.1109
"Cre01.g001800","Cre01.g002150",0.1108
"Cre01.g000800","Cre01.g001678",-0.1106
"Cre01.g000350","Cre01.g002250",0.1106
"Cre01.g001250","Cre01.g002300",-0.1098
"Cre01.g001200","Cre01.g002300",0.1097
"Cre01.g000400","Cre01.g001200",0.1094
"Cre01.g001657","Cre01.g002200",0.1093
"Cre01.g001100","Cre01.g001250",0.1091
"Cre01.g000600","Cre01.g001750",0.1089
"Cre01.g000950","Cre01.g001250",0.1087
"Cre01.g000100","Cre01.g001200",0.1086
"Cre01.g000850","Cre01.g001700",0.1086
"Cre01.g001550","Cre01.g002150",0.1084
"Cre01.g002200","Cre01.g002227",0.1079
"Cre01.g000850","Cre01.g001664",0.1077
"Cre01.g000100","Cre01.g001983",0.1073
"Cre01.g000250","Cre01.g002150",0.1072
"Cre01.g000017","Cre01.g000350",-0.1068
"Cre01.g001650","Cre01.g001700",-0.1067
"Cre01.g000500","Cre01.g002200",-0.1065
"Cre01.g000033","Cre01.g001150",-0.1063
"Cre01.g001983","Cre01.g002300",0.1062
"Cre01.g000450","Cre01.g001550",0.1059
"Cre01.g000500","Cre01.g001600",0.1036
"Cre01.g000850","Cre01.g001657",0.1033
"Cre01.g000850","Cre01.g001650",-0.1032
"Cre01.g001400","Cre01.g002300",-0.1032
"Cre01.g000800","Cre01.g000950",0.103
"Cre01.g001800","Cre01.g002201",0.1028
"Cre01.g001800","Cre01.g002227",0.1026
"Cre01.g000200","Cre01.g000450",0.1025
"Cre01.g002050","Cre01.g002300",-0.1023
"Cre01.g000250","Cre01.g002200",0.1017
"Cre01.g000400","Cre01.g001750",0.101
"Cre01.g001150","Cre01.g001800",0.101
"Cre01.g001250","Cre01.g001550",0.1008
"Cre01.g000350","Cre01.g001350",0.1006
"Cre01.g001450","Cre01.g002250",-0.1006
"Cre01.g000050","Cre01.g000950",-0.1004
"Cre01.g000850","Cre01.g001250",0.1003
"Cre01.g001664","Cre01.g002234",-0.1002
"Cre01.g002050","Cre01.g002201",-0.1
