fromNode	toNode	weight	direction	fromAltName	toAltName
Cre16.g651750	Cre10.g446450	0.373063511179994	undirected	TSI	Cre10.g446450
Cre10.g442650	Cre07.g314100	0.476122778899059	undirected	Cre10.g442650	Cre07.g314100
Cre06.g278154	Cre01.g052300	0.438859951655743	undirected	Cre06.g278154	E2F1
Cre17.g724850	Cre16.g687450	0.437801799773418	undirected	Cre17.g724850	CPLD54
Cre03.g160000	Cre03.g160400	0.448422931305376	undirected	HDA3	SAC1
Cre17.g720750	Cre01.g052250	0.338370257497543	undirected	TRF4	TRXx
Cre03.g160000	Cre11.g479250	0.28772593427589	undirected	HDA3	Cre11.g479250
Cre13.g571700	Cre12.g492950	0.478367318379376	undirected	Cre13.g571700	RIR1
Cre03.g145167	Cre16.g675400	0.361332208370998	undirected	Cre03.g145167	Cre16.g675400
Cre09.g400850	Cre16.g678550	0.27094928364405	undirected	CTL4	Cre16.g678550
Cre04.g228800	Cre06.g255950	0.449873680544012	undirected	Cre04.g228800	Cre06.g255950
Cre07.g352251	Cre03.g172700	0.324527206653444	undirected	Cre07.g352251	Cre03.g172700
Cre13.g570150	Cre14.g613850	0.337760862839472	undirected	Cre13.g570150	Cre14.g613850
Cre12.g502600	Cre12.g508250	0.34784240225127	undirected	SLT1	Cre12.g508250
Cre17.g700750	Cre07.g317150	0.182403648863097	undirected	Cre17.g700750	MKP7
Cre12.g549700	Cre04.g227550	0.298202970470757	undirected	Cre12.g549700	Cre04.g227550
Cre09.g397771	Cre11.g479250	0.283621235508678	undirected	OPR117	Cre11.g479250
Cre02.g077300	Cre09.g404100	0.40681803109008	undirected	NOP1	CLV3
Cre03.g192350	Cre13.g591350	0.471603336397377	undirected	Cre03.g192350	MFT27
Cre10.g428050	Cre12.g520550	0.392596598826064	undirected	Cre10.g428050	TRN1
Cre12.g538500	Cre03.g176400	0.489575992589949	undirected	Cre12.g538500	Cre03.g176400
Cre03.g161800	Cre13.g582800	0.294304081448347	undirected	Cre03.g161800	Cre13.g582800
Cre10.g434350	Cre09.g391578	0.402266935453235	undirected	CTR2	Cre09.g391578
Cre12.g513950	Cre02.g117850	0.3058045316331	undirected	SUFD	Cre02.g117850
Cre15.g635650	Cre03.g177350	0.150555763621345	undirected	Cre15.g635650	Cre03.g177350
Cre09.g409350	Cre11.g479383	0.143731137259729	undirected	RLI1	Cre11.g479383
Cre04.g217550	Cre14.g633400	0.401600980278262	undirected	EIF3C	PGA7
Cre06.g275350	Cre17.g697450	0.381827499228175	undirected	ROC40	Cre17.g697450
Cre17.g700750	Cre04.g228800	0.339824310679127	undirected	Cre17.g700750	Cre04.g228800
Cre08.g367300	Cre10.g443350	0.370581411370543	undirected	Cre08.g367300	Cre10.g443350
Cre04.g222800	Cre09.g395732	0.433676751966627	undirected	LCID	Cre09.g395732
Cre12.g497350	Cre07.g348800	0.340789957838832	undirected	PPR13	TAB1
Cre03.g183900	Cre17.g745797	0.35785387087495	undirected	Cre03.g183900	Cre17.g745797
Cre10.g466350	Cre03.g183250	0.403964786149495	undirected	Cre10.g466350	Cre03.g183250
Cre12.g484150	Cre16.g690319	0.209772313656121	undirected	Cre12.g484150	Cre16.g690319
Cre12.g499000	Cre16.g676550	0.446402225290732	undirected	Cre12.g499000	Cre16.g676550
Cre12.g508250	Cre12.g510000	0.302366288167719	undirected	Cre12.g508250	Cre12.g510000
Cre10.g459600	Cre06.g298300	0.295495942092852	undirected	Cre10.g459600	MRL1
Cre12.g540200	Cre13.g582800	0.305619954408589	undirected	HEL58	Cre13.g582800
Cre12.g529950	Cre02.g092550	0.454026284318776	undirected	EIF4G1	TPR1
Cre06.g288650	Cre08.g379800	0.123532410637106	undirected	Cre06.g288650	Cre08.g379800
Cre02.g096100	Cre12.g529500	0.402843518863461	undirected	Cre02.g096100	Cre12.g529500
Cre16.g693203	Cre07.g330350	0.411268086486228	undirected	Cre16.g693203	OPR115
Cre03.g197000	Cre12.g521150	0.368473115848568	undirected	Cre03.g197000	CGL19
Cre08.g358576	Cre12.g542300	0.202073854989725	undirected	Cre08.g358576	GLYK1
Cre12.g541777	Cre03.g201150	0.46961557414413	undirected	CGL95	Cre03.g201150
Cre07.g313302	Cre09.g388504	0.510696588145206	undirected	Cre07.g313302	Cre09.g388504
Cre08.g378850	Cre15.g637050	0.41948319944935	undirected	RPPK1	FAP274
Cre10.g443350	Cre05.g234657	0.290858254914396	undirected	Cre10.g443350	Cre05.g234657
Cre09.g400627	Cre06.g289950	0.39389410993445	undirected	Cre09.g400627	HEL28
Cre10.g423400	Cre12.g484150	0.347456809095974	undirected	Cre10.g423400	Cre12.g484150
Cre16.g685200	Cre17.g723300	0.47225044540099	undirected	Cre16.g685200	Cre17.g723300
Cre09.g393650	Cre12.g543100	0.379447969611489	undirected	Cre09.g393650	Cre12.g543100
Cre16.g653934	Cre17.g734628	0.427236321130416	undirected	Cre16.g653934	Cre17.g734628
Cre07.g313100	Cre07.g312750	0.381057974589678	undirected	Cre07.g313100	CSL4
Cre16.g692250	Cre08.g375650	0.399640001002935	undirected	Cre16.g692250	Cre08.g375650
Cre16.g693203	Cre16.g653800	0.36357184465802	undirected	Cre16.g693203	OPR101
Cre12.g484400	Cre08.g358570	0.403391548465921	undirected	Cre12.g484400	MCP23
Cre16.g653934	Cre06.g259100	0.329770062170184	undirected	Cre16.g653934	Cre06.g259100
Cre06.g263950	Cre10.g456500	0.361089075025775	undirected	Cre06.g263950	Cre10.g456500
Cre01.g054900	Cre17.g716650	0.430804507874342	undirected	Cre01.g054900	Cre17.g716650
Cre12.g492250	Cre16.g649300	0.394311088728464	undirected	TRZ3	Cre16.g649300
Cre11.g479150	Cre11.g479900	0.298703610499996	undirected	Cre11.g479150	Cre11.g479900
Cre24.g755747	Cre13.g563150	0.29462036661259	undirected	Cre24.g755747	CGLD8
Cre10.g418400	Cre14.g608200	0.397237289658935	undirected	Cre10.g418400	Cre14.g608200
Cre16.g684850	Cre06.g278169	0.430738288513814	undirected	Cre16.g684850	Cre06.g278169
Cre07.g335150	Cre07.g318702	0.438001757311425	undirected	Cre07.g335150	Cre07.g318702
Cre10.g425501	Cre09.g401404	0.260218041657193	undirected	Cre10.g425501	Cre09.g401404
Cre10.g451950	Cre17.g727100	0.373546420651952	undirected	AAT1	Cre17.g727100
Cre06.g257000	Cre06.g263150	0.369335433989018	undirected	SULP3	Cre06.g263150
Cre03.g161800	Cre12.g508250	0.342478698473507	undirected	Cre03.g161800	Cre12.g508250
Cre12.g549700	Cre07.g313185	0.248906493552155	undirected	Cre12.g549700	Cre07.g313185
Cre09.g400627	Cre09.g398030	0.314660467678728	undirected	Cre09.g400627	Cre09.g398030
Cre02.g095400	Cre10.g420537	0.386044845996443	undirected	Cre02.g095400	Cre10.g420537
Cre12.g508250	Cre04.g215350	0.463847362829677	undirected	Cre12.g508250	Cre04.g215350
Cre12.g509400	Cre04.g218950	0.202031185028716	undirected	RIR2L	Cre04.g218950
Cre06.g273750	Cre10.g446450	0.371606465705692	undirected	SABC	Cre10.g446450
