Gene_id,Version,Gene_names,Uniprot_id,TF
Cre17.g698400,C. reinhardtii v5.6,LCI31,A8IQT0,
Cre12.g542350,C. reinhardtii v5.6,Cre12.g542350,A8IXZ2,
Cre11.g467531,C. reinhardtii v5.6,Cre11.g467531,A0A2K3D764,
Cre16.g682300,C. reinhardtii v5.6,RPS26,A0A2K3CV04,
Cre06.g250100,C. reinhardtii v5.6,HSP70B,A8HYV3,
Cre04.g217915,C. reinhardtii v5.6,NAR1.3,A0A2K3DTF1,
Cre03.g199800,C. reinhardtii v5.6,HYDA1,Q9FYU1,
Cre08.g384750,C. reinhardtii v5.6,AMA3,A0A2K3DIB0,
Cre09.g411100,C. reinhardtii v5.6,RPS10,A8J4Q3,
Cre02.g116750,C. reinhardtii v5.6,ATP1A,Q96550,
Cre09.g400997,C. reinhardtii v5.6,Cre09.g400997,A0A2K3DF02,
Cre10.g453400,C. reinhardtii v5.6,MSC4,A0A2K3DBC1,
Cre11.g481450,C. reinhardtii v5.6,ATPG,A8J785,
Cre10.g425050,C. reinhardtii v5.6,ROC59,A0A2K3D9G3,
Cre01.g015350,C. reinhardtii v5.6,POR1,A8HPJ2,
Cre17.g723650,C. reinhardtii v5.6,ATO1,A8J6J6,
Cre04.g226850,C. reinhardtii v5.6,ASP1,A0A2K3DUQ0,
Cre08.g384150,C. reinhardtii v5.6,Cre08.g384150,A0A2K3DI87,
Cre12.g546150,C. reinhardtii v5.6,PETM,A8IY88,
Cre06.g296750,C. reinhardtii v5.6,HYDEF1,Q6PSL5,
Cre02.g100300,C. reinhardtii v5.6,Cre02.g100300,A0A2K3E283,
Cre16.g654600,C. reinhardtii v5.6,PHC56,A0A2K3CT33,
Cre10.g418450,C. reinhardtii v5.6,Cre10.g418450,A0A2K3D902,
Cre09.g387800,C. reinhardtii v5.6,FER1,Q8LRU1,
Cre02.g091100,C. reinhardtii v5.6,RPL15,A0A2K3E189,
Cre02.g088200,C. reinhardtii v5.6,RB60,O48949,
Cre09.g392208,C. reinhardtii v5.6,Cre09.g392208,A0A2K3DE88,
Cre12.g546650,C. reinhardtii v5.6,UBC23,A8IYA3,
Cre02.g095084,C. reinhardtii v5.6,Cre02.g095084,A0A2K3E1N3,
Cre02.g076250,C. reinhardtii v5.6,EFG1,A0A2K3E076,
Cre13.g565400,C. reinhardtii v5.6,Cre13.g565400,A0A2K3CZ82,
Cre11.g478184,C. reinhardtii v5.6,Cre11.g478184,A0A2K3D8I2,
Cre03.g174450,C. reinhardtii v5.6,PWR1,A0A2K3DXB2,
Cre01.g032300,C. reinhardtii v5.6,GBP1,Q39568,
Cre13.g573400,C. reinhardtii v5.6,Cre13.g573400,A8HSV0,
Cre10.g453450,C. reinhardtii v5.6,SMP4,A8I074,
Cre02.g073600,C. reinhardtii v5.6,Cre02.g073600,A8I9S4,
Cre08.g382500,C. reinhardtii v5.6,RPS25,A8IZ36,
Cre06.g269752,C. reinhardtii v5.6,TRX15,A8HW70,
Cre01.g028200,C. reinhardtii v5.6,HEL6,A0A2K3E6J3,
Cre03.g180250,C. reinhardtii v5.6,INO1,A8IDE6,
Cre16.g677765,C. reinhardtii v5.6,Cre16.g677765,A0A2K3CVV8,
Cre03.g156900,C. reinhardtii v5.6,LHCBM5,Q9ZSJ4,
Cre06.g299900,C. reinhardtii v5.6,Cre06.g299900,A8INW1,
Cre10.g465550,C. reinhardtii v5.6,CLPD1,A0A2K3DC78,
Cre06.g250200,C. reinhardtii v5.6,METM,A8HYU5,
Cre05.g245900,C. reinhardtii v5.6,BCA2,A0A2K3DS60,
Cre12.g498500,C. reinhardtii v5.6,DEG1C,A0A2K3D3G2,
Cre02.g095076,C. reinhardtii v5.6,MFT10,A0A2K3E1N2,
Cre07.g346350,C. reinhardtii v5.6,Cre07.g346350,A0A2K3DL03,
Cre16.g664050,C. reinhardtii v5.6,Cre16.g664050,A0A2K3CTR2,
Cre13.g563100,C. reinhardtii v5.6,Cre13.g563100,A8HR90,
Cre10.g459200,C. reinhardtii v5.6,PMA2,Q93Z22,
Cre11.g467578,C. reinhardtii v5.6,Cre11.g467578,A0A2K3D7C4,
Cre06.g266250,C. reinhardtii v5.6,Cre06.g266250,A0A2K3DN02,
Cre13.g585150,C. reinhardtii v5.6,EIF6,A8HUE0,
Cre04.g212200,C. reinhardtii v5.6,Cre04.g212200,A0A2K3DTZ5,
Cre16.g676421,C. reinhardtii v5.6,Cre16.g676421,A0A2K3CVU2,
Cre07.g336950,C. reinhardtii v5.6,PHO2,Q2VA40,
Cre13.g577450,C. reinhardtii v5.6,Cre13.g577450,A0A2K3D061,
Cre01.g051500,C. reinhardtii v5.6,ULP1,A8HNG8,
Cre17.g726850,C. reinhardtii v5.6,Cre17.g726850,A0A2K3CQP7,
Cre02.g108450,C. reinhardtii v5.6,FAP280,A8I3Q0,
Cre07.g355500,C. reinhardtii v5.6,Cre07.g355500,A8JFV4,
Cre16.g695850,C. reinhardtii v5.6,Cre16.g695850,A8JBM5,
Cre10.g426800,C. reinhardtii v5.6,Cre10.g426800,A0A2K3D9K0,
Cre02.g098850,C. reinhardtii v5.6,NTR2,A8I208,
Cre12.g558900,C. reinhardtii v5.6,PETO,A8JGW2,
Cre02.g141400,C. reinhardtii v5.6,PCK1,A8J0N7,
Cre11.g467781,C. reinhardtii v5.6,FAP151,A0A2K3D802,
Cre05.g232150,C. reinhardtii v5.6,GDH2,A0A2K3DS23,
Cre03.g144504,C. reinhardtii v5.6,Cre03.g144504,A0A2K3DV60,
Cre05.g235950,C. reinhardtii v5.6,Cre05.g235950,A0A2K3DSS1,
Cre04.g223876,C. reinhardtii v5.6,Cre04.g223876,A0A2K3DUF2,
Cre06.g252650,C. reinhardtii v5.6,LEU1S,A8HYG8,
Cre01.g050950,C. reinhardtii v5.6,Cre01.g050950,A8HNE8,
Cre05.g242400,C. reinhardtii v5.6,PGR5,A8I547,
Cre05.g232002,C. reinhardtii v5.6,Cre05.g232002,A0A2K3DRX6,
Cre12.g549100,C. reinhardtii v5.6,UAF3,A0A2K3D6A2,
Cre02.g141926,C. reinhardtii v5.6,Cre02.g141926,A0A2K3E4A9,
Cre08.g381450,C. reinhardtii v5.6,OPR35,A0A2K3DI34,
Cre10.g436550,C. reinhardtii v5.6,LCI5,A0A2K3DA85,
Cre09.g391450,C. reinhardtii v5.6,HCP1,A8IZR1,
Cre09.g386750,C. reinhardtii v5.6,HSP90A,A8J1U1,
Cre03.g157450,C. reinhardtii v5.6,Cre03.g157450,A0A2K3DW46,
Cre16.g678900,C. reinhardtii v5.6,HKR6,A0A2K3CV79,
Cre10.g423300,C. reinhardtii v5.6,Cre10.g423300,A0A2K3D9C0,
Cre02.g146700,C. reinhardtii v5.6,Cre02.g146700,A0A2K3E3V3,
Cre11.g481700,C. reinhardtii v5.6,Cre11.g481700,A0A2K3D8S4,
Cre12.g521300,C. reinhardtii v5.6,Cre12.g521300,A8J5W4,
Cre12.g483550,C. reinhardtii v5.6,VPE1,A0A2K3D1M0,
